character_name,traits,category,traints
ana de armas,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
chris hemsworth,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jennifer connelly,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
natalie portman,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tom holland,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
daisy edgar-jones,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
matt smith,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
seung ha,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
austin butler,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jason statham,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
xaria dotson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
min do-yoon,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
katherine lanasa,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
millie bobby brown,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tom hanks,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
florence pugh,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
cillian murphy,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
taika waititi,"[""['is_male'"", "" 'is_director']""]",Directing,"['is_male', 'is_director']"
paddy considine,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
mia goth,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
luke evans,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
chris pratt,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
tessa thompson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tom cruise,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
angeli khang,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
krithi shetty,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
miles teller,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
park eun-bin,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
bible wichapas sumettikul,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
liam neeson,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
joey king,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
peyton list,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
elsa pataky,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jon bernthal,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
morfydd clark,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
sara tomko,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
hande erçel,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tom hardy,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
tatiana maslany,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tanner buchanan,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
junko mabuki,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
sae bom,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
bill skarsgård,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sylvester stallone,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sarah hyland,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
richard mcwilliams,"[""['is_actor']""]",Acting,['is_actor']
sydney sweeney,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
vin diesel,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
zhao lusi,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
russell crowe,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
chris evans,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
chloë grace moretz,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
glen powell,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
chris pine,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
ryan gosling,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
morgan freeman,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
